team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
LAL,82,4.1,3.7,0.95,3.9,1.4,3.4,42.9,51.5,7.1,12.5,6.8,1.5,40.8,24.1,2016,handoff,defense
DEN,82,4.3,3.9,0.94,4,1.6,3.6,43.6,49.5,6.3,11.4,6.3,2,41,27.6,2016,handoff,defense
MIN,82,4.4,4.1,0.93,4,1.4,3.6,40.4,47.4,10.1,10.1,9.8,2,40.3,34.5,2016,handoff,defense
WAS,82,4.6,4.2,0.89,4.1,1.5,3.9,38.9,45.8,6.6,9.3,6.4,0.8,38.7,72.4,2016,handoff,defense
ATL,82,4.6,4.1,0.9,4.1,1.5,3.8,39,47.5,6.1,10.4,5.9,0.8,38,65.5,2016,handoff,defense
HOU,82,4.5,4,0.92,4.1,1.5,3.8,40.6,47.9,8.2,9.3,7.9,1.4,40.3,41.4,2016,handoff,defense
SAS,82,4.7,4.4,0.88,4.1,1.5,3.9,39.6,46.2,9.1,11.7,8.8,3.4,38.4,75.9,2016,handoff,defense
UTA,82,5,4.8,0.84,4.2,1.7,4.4,38.9,44.4,4.2,9.1,3.9,1.2,36.9,89.7,2016,handoff,defense
BKN,82,4.6,4,0.92,4.2,1.6,3.9,41.2,47.4,6.3,9.5,6.1,1.3,40.2,51.7,2016,handoff,defense
CHI,82,4.7,4.4,0.9,4.2,1.5,3.9,39.9,47.3,8.3,11.1,7.5,1.8,39.1,62.1,2016,handoff,defense
